order_id,quantity,pizza_id,pizza_type_id,,,,,
1,4,1,bbq_ckn_s,,,,,
2,4,2,mexicana_l,,,48620,48620,48620
2,4,3,napolitana_s,,,,,
2,3,4,four_cheese_l,,,,,
2,3,5,ckn_alfredo_m,,,,,
2,3,6,southw_ckn_l,,,,,
3,3,7,peppr_salami_s,,,,,
3,3,8,ital_supr_m,,,,,
4,3,9,bbq_ckn_m,,,,,
5,3,10,soppressata_l,,,,,
6,3,11,cali_ckn_s,,,,,
6,3,12,cali_ckn_m,,,,,
7,3,13,big_meat_s,,,,,
8,3,14,spin_pesto_m,,,,,
9,3,15,classic_dlx_s,,,,,
9,3,16,pepperoni_m,,,,,
9,3,17,four_cheese_m,,,,,
9,3,18,calabrese_l,,,,,
9,3,19,spicy_ital_l,,,,,
9,3,20,pepperoni_l,,,,,
9,3,21,classic_dlx_m,,,,,
9,3,22,mexicana_l,,,,,
9,3,23,ital_cpcllo_s,,,,,
10,3,24,five_cheese_l,,,,,
10,2,25,ckn_pesto_m,,,,,
11,2,26,pepperoni_m,,,,,
11,2,27,mexicana_m,,,,,
11,2,28,green_garden_m,,,,,
11,2,29,peppr_salami_l,,,,,
12,2,30,five_cheese_l,,,,,
12,2,31,prsc_argla_m,,,,,
12,2,32,cali_ckn_l,,,,,
12,2,33,veggie_veg_l,,,,,
13,2,34,pep_msh_pep_m,,,,,
14,2,35,pepperoni_m,,,,,
15,2,36,napolitana_s,,,,,
15,2,37,four_cheese_m,,,,,
15,2,38,ital_supr_l,,,,,
15,2,39,cali_ckn_l,,,,,
16,2,40,spinach_fet_m,,,,,
16,2,41,spicy_ital_l,,,,,
16,2,42,cali_ckn_s,,,,,
17,2,43,spinach_fet_s,,,,,
17,2,44,four_cheese_l,,,,,
17,2,45,bbq_ckn_l,,,,,
17,2,46,ital_supr_l,,,,,
17,2,47,four_cheese_l,,,,,
17,2,48,mediterraneo_m,,,,,
17,2,49,bbq_ckn_l,,,,,
17,2,50,veggie_veg_m,,,,,
17,2,51,soppressata_l,,,,,
17,2,52,four_cheese_m,,,,,
18,2,53,spicy_ital_l,,,,,
19,2,54,ital_veggie_m,,,,,
19,2,55,ital_cpcllo_l,,,,,
20,2,56,bbq_ckn_l,,,,,
20,2,57,thai_ckn_l,,,,,
21,2,58,spinach_fet_s,,,,,
22,2,59,four_cheese_l,,,,,
22,2,60,cali_ckn_s,,,,,
22,2,61,sicilian_s,,,,,
23,2,62,mexicana_l,,,,,
24,2,63,mediterraneo_s,,,,,
24,2,64,napolitana_m,,,,,
24,2,65,hawaiian_l,,,,,
24,2,66,bbq_ckn_l,,,,,
25,2,67,prsc_argla_m,,,,,
25,2,68,veggie_veg_s,,,,,
26,2,69,prsc_argla_m,,,,,
26,2,70,pepperoni_s,,,,,
27,2,71,pep_msh_pep_m,,,,,
27,2,72,bbq_ckn_m,,,,,
27,2,73,veggie_veg_l,,,,,
28,2,74,mediterraneo_m,,,,,
29,2,75,spinach_fet_l,,,,,
30,2,76,ital_supr_m,,,,,
31,2,77,cali_ckn_s,,,,,
31,2,78,sicilian_l,,,,,
32,2,79,peppr_salami_s,,,,,
32,2,80,the_greek_xl,,,,,
32,2,81,spin_pesto_l,,,,,
32,2,82,mediterraneo_m,,,,,
33,2,83,spicy_ital_l,,,,,
33,2,84,napolitana_s,,,,,
34,2,85,ital_cpcllo_m,,,,,
35,2,86,ckn_pesto_m,,,,,
35,2,87,mexicana_m,,,,,
35,2,88,ital_cpcllo_s,,,,,
35,2,89,big_meat_s,,,,,
36,2,90,spinach_supr_m,,,,,
